HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
1.27,0.27,1.07,0.70,1.20,0.60,1.00,0.83,12.20,9.60,11.07,11.07,3.40,3.77,3.80,3.47,0.00
2.13,1.60,1.73,1.77,1.93,1.67,1.50,1.73,16.60,12.93,15.47,15.47,5.03,5.87,6.00,5.13,1.00
0.53,2.27,0.43,2.57,0.67,1.80,0.60,2.47,11.20,12.20,10.77,10.77,3.27,5.93,3.20,4.93,2.00
2.80,0.87,2.60,1.07,2.93,1.13,2.47,1.17,18.27,7.40,16.97,16.97,6.50,3.00,7.27,2.47,0.00
1.67,0.80,1.43,0.93,1.40,0.93,1.20,0.87,15.67,9.13,12.63,12.63,3.87,2.83,4.87,3.20,2.00
1.80,1.50,1.50,1.77,1.87,1.64,1.47,1.73,13.80,11.93,11.97,11.97,4.33,4.77,5.07,4.21,2.00
1.73,1.19,1.40,1.23,1.47,1.38,1.27,1.37,13.40,11.06,12.13,12.13,3.77,3.83,4.40,3.25,2.00
1.80,1.53,1.40,1.40,1.53,1.80,1.37,1.53,14.67,10.73,13.10,13.10,4.30,3.80,4.47,3.60,0.00
2.40,1.27,1.73,1.33,2.33,1.33,1.80,1.23,14.13,11.33,12.30,12.30,4.13,4.83,5.07,4.20,0.00
1.07,1.07,0.86,1.45,0.80,1.07,0.86,1.31,10.80,10.87,10.03,10.03,2.86,3.86,2.47,3.13,0.00
1.13,0.67,0.72,0.97,1.07,1.33,0.79,1.38,13.20,11.27,11.48,11.48,3.76,4.28,4.07,4.20,2.00
1.40,1.20,1.38,1.55,1.13,1.07,1.24,1.52,16.93,10.13,14.34,14.34,4.93,4.34,5.47,3.60,1.00
2.87,0.87,2.55,1.00,3.13,0.80,2.52,0.90,18.40,9.93,15.45,15.45,6.07,3.34,6.93,3.00,0.00
1.40,1.20,1.14,1.48,1.60,1.00,1.34,1.24,13.33,9.60,12.28,12.28,4.21,3.79,4.67,2.87,1.00
1.29,0.33,1.17,0.45,1.36,0.53,1.34,0.62,11.21,10.33,11.21,11.21,3.86,3.34,4.50,3.33,0.00
1.27,1.33,1.10,1.76,1.20,1.07,1.21,1.48,11.67,14.33,9.69,9.69,3.10,5.00,3.53,4.07,2.00
1.27,1.07,1.45,1.69,1.27,1.27,1.59,1.76,15.93,10.47,13.55,13.55,3.83,4.07,4.00,3.20,1.00
1.93,1.00,1.79,1.34,1.80,1.20,1.72,1.34,14.67,11.53,14.03,14.03,5.93,4.31,6.60,4.13,0.00
2.00,2.40,1.72,2.59,1.81,2.00,1.76,2.38,15.81,15.67,14.14,14.14,4.86,6.38,5.25,5.73,2.00
2.36,2.21,1.71,2.54,2.29,1.86,1.75,2.46,13.79,12.29,12.25,12.25,4.14,6.04,5.00,5.14,1.00
1.29,1.64,0.89,1.75,1.43,1.64,1.32,1.71,12.07,13.36,11.64,11.64,4.25,5.79,4.36,5.21,2.00
1.14,1.36,1.04,1.39,1.00,1.36,0.89,1.25,11.50,11.57,11.00,11.00,3.43,4.86,3.71,4.36,2.00
