Home,Away,HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,O15HPG,O15APG,O25HPG,O25APG,HAD,H_Win,A_Win,FTG,O15,O25
Liverpool,Man United,2.833333333,1.727272727,2.5,1.818181818,3.333333333,1.636363636,2.5,1.681818182,18.41666667,13.81818182,15.54545455,15.54545455,6,5.681818182,7.25,5.363636364,1,0.545454545,0.75,0.545454545,0,1,0,4,1,1
Southampton,Arsenal,1.5,0.916666667,1.363636364,1.636363636,1.75,1.083333333,1.454545455,1.727272727,12.33333333,10.08333333,11.04545455,11.04545455,4,4.181818182,4.666666667,3.166666667,1,0.583333333,0.75,0.583333333,0,1,0,5,1,1
Wolves,Liverpool,2,2.1,1.523809524,2.476190476,1.6,1.5,1.333333333,2.476190476,14.8,12.1,11.71428571,11.71428571,3.571428571,5.761904762,5,4.5,0.8,0.4,0.4,0.4,2,0,1,2,1,0
Arsenal,Burnley,2.5,1.2,1.714285714,1.333333333,2.5,1.5,1.714285714,1.428571429,13.5,8.6,11.57142857,11.57142857,4.19047619,3.380952381,5.4,3.3,1,0.7,0.5,0.7,0,1,0,4,1,1
Bournemouth,Brighton,1.5,0.6,1.047619048,0.714285714,1.6,0.9,1.476190476,0.714285714,12.6,8.9,12,12,4.523809524,2.904761905,4.5,3.3,0.7,0.6,0.4,0.6,0,1,0,2,1,0
Cardiff,Man United,0.7,1.9,0.952380952,1.904761905,0.9,1.7,0.80952381,1.714285714,10,14.6,10.52380952,10.52380952,3.428571429,5.857142857,3.7,5.7,0.9,0.5,0.6,0.5,2,0,1,6,1,1
Chelsea,Leicester,2.1,1.4,1.666666667,1.428571429,2,1.6,1.333333333,1.428571429,17.4,11.6,15.47619048,15.47619048,5,5.238095238,6,4.6,0.8,0.6,0.5,0.6,2,0,1,1,0,0
Huddersfield,Southampton,0.4,1.2,0.285714286,1.285714286,0.7,1.1,0.571428571,1.380952381,10.8,9.5,9.857142857,9.857142857,2.952380952,3.857142857,3.1,3.2,0.8,0.5,0.6,0.5,2,0,1,4,1,1
Man City,Crystal Palace,2.7,2.2,2.571428571,1.619047619,2.4,2.3,2.238095238,1.761904762,18.6,10.8,17.61904762,17.61904762,6.571428571,3.857142857,7.5,3.8,0.7,0.6,0.6,0.6,2,0,1,5,1,1
Newcastle,Fulham,1.9,0.4,1.380952381,0.80952381,1.7,0.6,1.333333333,0.857142857,15.2,10.1,12.23809524,12.23809524,3.857142857,3.80952381,5.1,3.6,0.8,0.5,0.5,0.5,1,0,0,0,0,0
West Ham,Watford,1.8,1.272727273,1.333333333,1.238095238,1.8,1.545454545,1.285714286,1.380952381,13.3,10.63636364,11.85714286,11.85714286,3.952380952,3.80952381,4.4,3.545454545,0.9,0.818181818,0.5,0.818181818,2,0,1,2,1,0
Everton,Tottenham,1.6,1,1.428571429,1.523809524,1.4,1.555555556,1.428571429,1.714285714,13.9,13.11111111,13.04761905,13.04761905,4.476190476,4.857142857,4.4,4.333333333,0.7,0.666666667,0.3,0.666666667,2,0,1,8,1,1
Brighton,Arsenal,0.818181818,1,0.75,1.65,0.545454545,1,0.75,1.65,11.90909091,9.818181818,10.5,10.5,2.8,4.1,2.545454545,3.090909091,0.545454545,0.545454545,0.272727273,0.545454545,1,0,0,2,1,0
Burnley,Everton,1.454545455,1.272727273,1.4,1.5,1.363636364,1.454545455,1.45,1.4,11.81818182,12.27272727,10.45,10.45,3.45,4.55,3.454545455,4.545454545,0.909090909,0.454545455,0.545454545,0.454545455,2,0,1,6,1,1
Crystal Palace,Cardiff,1.090909091,1.181818182,1.55,1,1.272727273,0.727272727,1.7,0.8,15.90909091,11,13.9,13.9,3.9,3.45,3.909090909,3.181818182,0.727272727,0.272727273,0.454545455,0.272727273,1,0,0,0,0,0
Fulham,Wolves,1.181818182,1.090909091,0.8,1.6,1.090909091,1.090909091,0.9,1.4,12.36363636,8.909090909,11.65,11.65,3.9,3.5,4,2.272727273,0.818181818,0.454545455,0.545454545,0.454545455,1,0,0,2,1,0
Leicester,Man City,1.454545455,2.454545455,1.35,2.7,1.272727273,2.090909091,1.45,2.25,17.54545455,16.72727273,15.05,15.05,5.35,6.65,5.818181818,5.727272727,0.636363636,0.545454545,0.545454545,0.545454545,0,1,0,3,1,1
Liverpool,Newcastle,2.818181818,0.909090909,2.45,1.4,3.363636364,1,2.5,1.4,16.81818182,9.545454545,14.55,14.55,5.75,4.05,6.909090909,2.727272727,1,0.363636364,0.727272727,0.363636364,0,1,0,4,1,1
Man United,Huddersfield,1.909090909,0.181818182,1.85,0.3,1.727272727,0.454545455,1.55,0.55,14.90909091,9,14.65,14.65,5.7,2.85,6,2.818181818,0.909090909,0.454545455,0.636363636,0.454545455,0,1,0,4,1,1
